"HolderAddress","Balance","PendingBalanceUpdate"
"0xb22ed4bec314d475a8782e0b6869f0144d46859c","36704570.6744586","No"
"0x274b7950c0b420e112b8b0f53c6fb7b2f1bfe954","536763.512236995","No"
"0x742d35cc6634c0532925a3b844bc454e4438f44e","5668674.64111772","No"
"0x876eabf441b2ee5b5b0554fd502a8e0600950cfa","1655254.90495987","No"
"0x388b3ba394c155cbab92083a26b62a5e76e2f694","3035.140443922","No"
"0xed24d5d6377b090357f6a73a3e184037a5f176e3","14.594645276","No"
"0x7e49a5469d5dc2f6c734d721a3cad9c942042d9a","9732.692431036","No"
"0x604575422235cef300cb0127fb4ab2d9bbcdac71","1277.836927325","No"
"0x16251fb86f4b78df23717a3657d8ab73fd5243b1","0.447341329","No"
"0x8d25f564b59eb49173f5574c5ad54856f5a31e7a","2611.265642895","No"
"0x7f01a8b42a1243c705dbc74964125755833ef453","0.171698289","No"
"0xf42644b64750d8a13655268af1d903aa8ac38bfd","260.029405914","No"
"0x601959e3c06c01cbf9d60b4cd06324014570b700","426.813453214","No"
"0x4ba9b7542b874d2047827548b7022a3b1ffc68b1","0.262080295","No"
"0xfd8b9c2b6bea822456d6322a90090928b4ebc930","0.135558329","No"
"0xf7793d27a1b76cdf14db7c83e82c772cf7c92910","8.2747E-05","No"
"0x18545385ad6fd5d342b7eb364d4942728b92a620","3312.121688745","No"
"0xf428237037e5c0acf0751f9b42b83d7b4903d305","7.008068854","No"
"0xf0a4be2452c8ae1e506520c0fe74588c591491dd","2748.596263586","No"
"0x8ff897da5f571e40ac43a0f679b3cdf052e8e365","0.003914133","No"
"0xed364556262baea7c04313cbd06d07f6fced06bf","9.646776996","No"
"0x7b0adc8ca6d4e0d3c70cfa16ab1a8c559a43e5cd","6.486597073","No"
"0xe72994419480d9a0b3ab38e53ef7d7c28c48193d","0.001275846","No"
"0x161968be73d81fa6e8ab5e989fbf091edd9c74e7","1635.043880709","No"
"0xda929a354bf41b7ce28feb909645a4c97e5e6a1e","300.914577071","No"
"0xc808710623e2bfea55de3be913bf49d92d96eda4","121.97216501","No"
"0x67d4ee857fa27fb1959f88e580e30e8c1d3efd36","4.0375E-05","No"
"0x1e99d398bc181aef72c732b27f3039207a89e5c4","11308.58608124","No"
"0xba9a7bdfe4f9b738e175ff9b5c189da0343d77c8","42827.862581288","No"
"0xdd1637daf51ea03f11817b38e1c49ad27a33a398","24.330877966","No"
"0x8774dae068956d973bcf69733d863b34ce85236c","34.059950505","No"
"0x2bbe7ae1280b68fb53d44f77379e0c7214024da6","0.634965124","No"
"0x7cb8245c4d08e0530c06a3412a5c4db7a3941c7a","130.721064233","No"
"0xdb8e0c223462cdb8b46f24dd66f34f238fbacf42","8.21628917","No"
"0x68a0ce0a0feba5829e9bbb85bc43a4f3cd62af69","170048.038494066","No"
"0x042dbbdc27f75d277c3d99efe327db21bc4fde75","14793.280456163","No"
"0xb8f9e12bf8a8ea24fea2ee3253ff66f289a799a4","159.322398903","No"
"0x8cb323fec80e2ac1d75d90bd5646a360a6d4ac20","1798.260594956","No"
"0x446369c5ae1ffda34399021444ad3528302677f8","84.988643144","No"
"0x11e4857bb9993a50c685a79afad4e6f65d518dda","6.171289256","No"
"0x38e1376a89deb12ad87e3ae26d7bb08faed0d012","1.279918856","No"
"0xc9756cbdf45fe52de24c96296564bc207f95306e","38.336636858","No"
"0x73302a57b7b444311ff6b494dcacf3e3d0c17993","4853.538195957","No"
"0xc722faa3ed0de815bff1dbb98016e31d200ac4ff","3.80996729","No"
"0xd51622e64ad14dcad142c2c54e6f6b2fab3b570e","38.808745439","No"
"0x3d208c6685abd8bd58d43d554a5686e938a5d8a5","0.04239951","No"
"0x837c34c4b160d5b3186758e605f2c7e06e8fc295","8520.370561114","No"
