"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000084e91743124a982076c59f10084","1E-18","No"
"0x000000000000541e251335090ac5b47176af4f7e","0.129270019037497","No"
"0x000000000000740a22fa209cf6806d38f7605385","1E-18","No"
"0x0000000000007f150bd6f54c40a34d7c3d5e9f56","0.000581633206383885","No"
"0x00000000009a41862f3b2b0c688b7c0d1940511e","1E-18","No"
"0x00000000079a2bf7701d039faa681954b428ac43","0.000377842682305566","No"
"0x000000002605006ff4ad30ac969f0726821ebd7c","1.0567203124856E-05","No"
"0x0000000033431f236e97fa549b367827360effd7","1E-18","No"
"0x000000003a7cd5b15e460f73976b267544726f5f","1E-18","No"
"0x000000004fa9e635dbe91c83aee357d01494936d","2.993015985618E-05","No"
"0x00000000553a85582988aa8ad43fb7dda2466bc7","6.9787511692E-08","No"
"0x000000005804b22091aa9830e50459a15e7c9241","1E-18","No"
"0x000000005be1b41f8ed12d32409c8475e83f2ee3","1E-18","No"
"0x0000000071e801062eb0544403f66176bba42dc0","1E-18","No"
"0x0000000089341e263b85d84a0eea39f47c37a9d2","0.00107588967486095","No"
"0x0000000094acb89a43eac2fbb3a07973efc2435c","1.94145537411E-07","No"
"0x00000000b1786c9698c160d78232c78d6f6474fe","0.000525809293791812","No"
"0x00000000cd47aa64daf64f5144b0d7885754374c","1E-18","No"
"0x00000000dc0e59517a8114348d9130e7d3835832","1E-18","No"
"0x00000000e8080db3ed60313725643d38bec42071","1E-18","No"
"0x00000000e84f2bbdfb129ed6e495c7f879f3e634","1.7297826014E-08","No"
"0x00000000e8b06d9bf77ba40fc89e4eaa4f225e5c","1E-18","No"
"0x000000019206dcdf090fbfdea184777aec6000f9","0.0001","No"
"0x0000000367ba4371cb48816a1cf2f3902448f1bc","0.0001","No"
"0x00000003cd3aa7e760877f03275621d2692f5841","6.6880692344546E-05","No"
"0x0000006daea1723962647b7e189d311d757fb793","2.8791330595894","No"
"0x000000e2f418557520d77123550e1875142e86f4","0.000758349754124672","No"
"0x00000ea8e6b683decab9f4a2c0a5cd464ae61f69","0.0011","No"
"0x00000eff292d8cb466e12a33fb83fa5757a67b58","0.00326634542917111","No"
