"HolderAddress","Balance","PendingBalanceUpdate"
"0x005c2f0912add57cb18aabe39953ef4949fb5c48","25","No"
"0x005c434447969152382c036e2644f7abb79fa25f","25","No"
"0x005c6e624f67eb7cd3bcfb6774e0833666b9efa0","282096","No"
"0x006011b3464632c50e7587529d0a8e8ed162b663","50","No"
"0x006109355440cda6654787b2fe99a8b7dbbff5d2","25","No"
"0x00610d1b203f9ddf2776d8729b0de854f5dce8ed","47980894.6567494","No"
"0x00619f0d151fd28a2334d310815b025838039ed4","25","No"
"0x0064266a59931238912223b685afb7606e8fed7e","25","No"
"0x00651b9e2924f1a5b63f6460832ab211e5829190","26263.9124228171","No"
"0x0069942d0e0835dc6b229ab1039b96f0e95dbf94","2434.88763986","No"
"0x006a80f1e82e1b05bda9958b1dd7b160252529c6","25","No"
"0x006c9d053b29dcbd8668cdee59975cc2c0f50033","25","No"
"0x006fb6b11d39a0ad9a38d268681ae6f01c79b5b2","25","No"
"0x0070226e5f519f9a94c49e5bf0b8451c7015b9a0","25","No"
"0x0071915d5dcd08ad41753769dc7e1e6bd6786bc8","25","No"
"0x00765796b32e9896f5a5fcd556ec8e3b2ca38b39","25","No"
"0x0078e19957e37a4b978ba1a5c9627629f02e827f","11148.52352437","No"
"0x007c45887c8aa7f939926443bd8fb4a96e147dd5","25","No"
"0x007c8b5323ca6e6cdeceb5ebf397e56a47a6a4d8","25","No"
"0x00813c9b1c2203d6774178644cef8f863e6c6df7","25","No"
"0x0081e50e9b5f1e77d687963a1416536818a436af","25","No"
"0x0081e73cb5eba3245a103732fd074fb242c94804","25","No"
"0x0083cab98086e52f52e156109fd6b4f408601283","25","No"
"0x0088e809fccde648b667c975b4fac2cc12fe3e78","25","No"
"0x00895e458fdbee140eeb2c10256ba29cdb507670","34575.931","No"
"0x00898e3e787e50c23657b872e78bd097906356d1","25","No"
"0x008a189639a6deaa2725551e5f4200be31c5f4a3","20000","No"
"0x008cf48bda274e4653bbf4d138d9f9bc7d582633","25","No"
"0x008d484f2faeebab39de0314e11440655079b555","25","No"
"0x008f03e3264da4ba437db456f6600e90affcad08","50","No"
"0x00917c372fa5e0c7fe8ecc04ceea2670e18d3786","2372862.8317","No"
"0x0091be6b287a1fb90612fc5e9792b83d3a2ce155","25","No"
"0x0092c1d3bfe7a353789c96525ced02a1b72ebc33","25","No"
"0x0093081a57c1b17b476daa26a176609e610949f4","25","No"
"0x0093b2f4d80d17b1d7c085b4c98721e4ffeae023","25","No"
"0x0093e5f2a850268c0ca3093c7ea53731296487eb","28375.14414127","No"
