HolderAddress,Balance_2021-04-14_23-1,Balance_2021-04-16_20-21,Balance_2021-04-18_11-56,Balance_2021-04-19_17-55,Balance_2021-04-20_17-21,Balance_2021-04-21_17-18,Balance_2021-04-22_16-56,Balance_2021-04-23_21-58,Balance_2021-04-24_8-41,Balance_2021-04-25_17-55,Balance_2021-04-26_20-28,Balance_2021-04-27_19-12,Balance_2021-04-28_20-17,Balance_2021-04-30_13-19,Balance_2021-05-01_9-2,Balance_2021-05-04_20-22,Balance_2021-05-05_18-12,Balance_2021-05-09_9-32
0x03f98a53a50eae769ca015ca9ef69128e492b5d8,17000.0,44912.90802275,44912.90802275,44912.90802275,44912.90802275,20000.90802275,20000.90802275,20000.90802275,20000.90802275,20000.90802275,20000.90802275,20000.90802275,20000.90802275,20000.90802275,20000.90802275,20000.90802275,20000.90802275,20000.90802275
0x8b94f9c38a6cacc49cbd48ad867c0a9c2f89eb11,16667.18667377,96667.18667377,96667.18667377,96667.18667377,96667.18667377,96667.18667377,96667.18667377,96667.18667377,96667.18667377,96667.18667377,96667.18667377,96667.18667377,96667.18667377,96667.18667377,96667.18667377,96667.18667377,96667.18667377,96667.18667377
0x76e8f2eee8c15743c6bac47c7069096ef8be5c2e,16532.80026378,16532.80026378,16532.80026378,16532.80026378,16532.80026378,16532.80026378,16532.80026378,16532.80026378,16532.80026378,16532.80026378,16532.80026378,16532.80026378,16532.80026378,16532.80026378,16532.80026378,16532.80026378,16532.80026378,16532.80026378
0xeacd686d0fb62f9191ee883fd55be36968804a81,16435.0,343327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xb3d0b1b303b00aa4955ef6259666c88882057472,15954.55750072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xe8f22af131642aa27c1ae123caf80c4590328385,15834.0,15834.0,15834.0,15834.0,15834.0,15834.0,15834.0,15834.0,15834.0,15834.0,15834.0,15834.0,15834.0,15834.0,15834.0,15834.0,15834.0,15834.0
0xc05c31297fe6ade455a8f1785b0a41ab1a78f6aa,15536.48746569,15536.48746569,12036.48746569,12036.48746569,12036.48746569,12036.48746569,12036.48746569,12036.48746569,12036.48746569,12036.48746569,12036.48746569,12036.48746569,12036.48746569,10000.48746569,10000.48746569,10000.48746569,10000.48746569,10000.48746569
0x805197344c4f5d990cfbc23e032631aef0a6987a,15123.47378563,15123.47378563,15123.47378563,15123.47378563,15123.47378563,15123.47378563,15123.47378563,15123.47378563,15123.47378563,15123.47378563,15123.47378563,15123.47378563,15123.47378563,15123.47378563,15123.47378563,15123.47378563,15123.47378563,15123.47378563
0xcd1630a9789ddf0ca780397d74b57a340776e250,15103.32234392,15103.32234392,15103.32234392,15103.32234392,15103.32234392,15103.32234392,15103.32234392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x4652277b9aea1819e77d521053319ea5eb53c888,15000.0,15000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
