HolderAddress,Balance_2021-04-14_23-1,Balance_2021-04-15_15-56,Balance_2021-04-16_19-36,Balance_2021-04-18_11-17,Balance_2021-04-19_17-11,Balance_2021-04-20_17-0,Balance_2021-04-21_16-57,Balance_2021-04-22_16-35,Balance_2021-04-23_21-26,Balance_2021-04-24_8-20,Balance_2021-04-25_17-34,Balance_2021-04-26_20-7,Balance_2021-04-27_18-51,Balance_2021-04-28_19-57,Balance_2021-04-30_12-57,Balance_2021-05-01_8-43,Balance_2021-05-04_20-1,Balance_2021-05-05_17-51,Balance_2021-05-09_9-11,Balance_2021-05-10_21-52,Balance_2021-05-12_21-14,Balance_2021-07-17_22-4,Balance_2021-07-18_12-12
0xd551234ae421e3bcba99a0da6d736074f22192ff,371885.96406443,297214.06254354,319943.27559298,163101.1043165,279175.79240177,213417.76248875,197270.64334875,172607.96999524,321654.87625389,321323.17625389,237163.98227255,195294.0804506,173221.3713206,147948.91778676,249433.76583975,134519.46089395,215135.34051731,208470.41719031,95778.68793029,140440.64937965,326012.16955795,0.0,0.0
0x708396f17127c42383e3b9014072679b2f60b82f,369666.41667532,329038.7805538,163437.43027159,264549.22301986,120484.27674862,81454.1530793,331962.0265313,279005.7025313,241989.29122281,241972.17224136,173230.42001176,164884.35972008,119847.70875496,81550.51713796,104923.89517874,104642.39360874,198576.29003174,188721.84903174,235200.92524981,374172.04476489,307973.55117139,0.0,0.0
0xb3f923eabaf178fc1bd8e13902fc5c61d3ddef5b,360605.0,770888.02612074,1152907.02612074,1185457.02612074,0.0,0.0,0.0,151998.0,0.0,0.0,92158.64032258,201539.64032258,274005.5709941,284104.5709941,664030.61047459,0.0,0.0,110557.4419943,0.0,0.0,0.0,0.0,0.0
0x57928a05c91c1a5f38eb6788914acc05538f1f73,331492.456883067,329200.48988306726,328705.15388306725,336555.66988306725,335571.70278520125,333657.3957852013,333135.20778520126,328479.19178520126,319186.64178520127,320121.64178520127,321509.15549146995,322872.15549146995,325077.15549146995,325077.15549146995,324578.92449147,326008.92449147,319569.30849146994,323316.66449147,342420.5698388517,339120.77983885165,358390.96983885166,309449.12783885165,309449.12783885165
0x93290d761699b5a7322fd2b923d2e647451324a6,300001.520705413,300001.52070541284,300001.52070541284,300001.52070541284,300001.52070541284,300001.52070541284,300001.52070541284,300001.52070541284,300001.52070541284,300001.52070541284,300001.52070541284,300001.52070541284,300001.52070541284,300001.52070541284,300001.52070541284,300001.52070541284,300001.52070541284,300001.52070541284,300001.52070541284,300001.52070541284,300001.52070541284,300001.52070541284,300001.52070541284
0x2905c7f0d46b55a10ef91fe4524f22430e2e0072,268091.04591436,260602.2977105799,261495.8242937557,256112.58275505312,292494.21124565974,309520.14221226046,297452.07725932216,305609.756059655,286375.412607398,289039.72637369746,291195.9411772649,287079.01076780853,302812.2057739911,330280.5180688173,318670.0399379966,320133.04904065706,294139.7899003968,287196.3217527277,271802.98774756363,236142.2525995907,242060.28291553067,408739.446829644,411044.5357549871
0x105fd9a6edbe80208434a40ddaca5b2dc8c90550,256300.0,256300.0,256300.0,256300.0,256300.0,256300.0,256300.0,256300.0,256300.0,256300.0,256300.0,256300.0,256300.0,256300.0,256300.0,256300.0,256300.0,256300.0,256300.0,256300.0,256300.0,256300.0,256300.0
0x59ce4a2ac5bc3f5f225439b2993b86b42f6d3e9f,249728.732529303,249728.7325293029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x6262998ced04146fa42253a5c0af90ca02dfd2a3,243465.351189811,257152.42402404983,249035.6042514508,268765.06828008074,268765.06828008074,219765.0682800808,232121.96248383936,248776.03528637803,234670.0313349141,246356.9680004341,242133.95514024733,86512.12062521392,94466.28144907468,95959.49634346036,113308.29096106828,107971.37523443552,117008.46983433442,101448.46983433442,52425.73251789442,70434.81401807442,70434.81401807442,13809.449170592556,13958.336442282556
0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,214951.441555981,958239.0375741788,1543033.919996859,3004525.8566227835,2952519.757815643,2932391.028942788,2752660.197437075,2241864.020692336,2224054.411560776,2236147.0040635588,1652739.0135393376,1694928.1628349398,1360191.01505084,1350063.3697063278,1330136.387156974,1345557.848073534,1693171.7879645382,528663.1712864384,604976.5110975293,534696.9705022426,555756.4817798613,462325.62890574697,462309.435434377
