HolderAddress,Balance_2021-04-20_18-8,Balance_2021-04-21_18-15,Balance_2021-04-22_18-25,Balance_2021-04-24_9-42,Balance_2021-04-25_18-54,Balance_2021-04-26_21-25,Balance_2021-04-27_20-8,Balance_2021-04-28_21-13,Balance_2021-05-01_9-59,Balance_2021-05-04_21-17,Balance_2021-05-05_19-8,Balance_2021-05-09_10-27,Balance_2021-05-12_22-29,Balance_2021-07-18_13-29
0x2c8c53065541fb0d6d87cdc5ce5952ead0b4e84f,142819.065155147,484250.0400244805,484250.0400244805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x4adf44961a7cbe8ee46b2bf04e7198e879677825,140110.24,140110.24,140110.24,140110.24,140110.24,140110.24,140110.24,140107.44,132960.24,132960.24,132960.24,132960.24,132960.24,60.24
0x19184ab45c40c2920b0e0e31413b9434abd243ed,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0
0x0aca67fa70b142a3b9bf2ed89a81b40ff85dacdc,136544.0,136544.0,136544.0,136544.0,136544.0,136544.0,136544.0,0.0,0.0,0.0,0.0,0.0,0.0,121966.33231148
0x3a9e6cf4e3157670a3b991c25d6f4fcbd9419c03,136075.406196846,133038.89619684633,133038.89619684633,119286.39619684633,110286.39619684633,108286.39619684633,107520.13619684632,85958.21619684632,46931.44619684632,4699.536196846319,2699.536196846319,135590.8461968463,88575.56959684633,7963.089596846319
0xeae57ce9cc1984f202e15e038b964bb8bdf7229a,131949.023406076,131949.02340607622,131949.02340607622,131949.02340607622,132800.2750140762,133484.93884907622,133484.93884907622,133484.93884907622,133234.93884907622,131115.9189150762,131115.9189150762,130902.66410207622,130902.66410207622,122197.19797957622
0x593065a46a507dc0da5146020efc1476067aab8c,130908.532,0.0,0.0,4305.946,0.0,0.0,0.0,11723.34,0.0,22942.416,0.0,8166.336,26629.563,0.0
0x4c8cfe078a5b989cea4b330197246ced82764c63,130880.907745622,130880.90774562195,162650.1287630275,162650.1287630275,162650.1287630275,162650.1287630275,563716.0292998351,563716.0292998351,22351.09731983513,132800.05311330425,28688.053113304257,85714.12544033359,85714.12544033359,21419.643031098163
0x7044827d82408ba7e5a59d2ce8065030c6f0c618,130001.0,175001.0,175001.0,160001.0,160001.0,160001.0,160001.0,160001.0,144001.0,144001.0,144001.0,164001.0,197001.0,172501.0
0x4093fbe60ab50ab79a5bd32fa2adec255372f80e,128000.0,128000.0,128000.0,128000.0,128000.0,128000.0,128000.0,128000.0,128000.0,2.0,2.0,2.0,2.0,2.0
0xa6a608b448df0354e1a47491400222e7b4671fca,124107.290527297,398487.5304565688,398487.5304565688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xcc5599343647dc99e16a97f92e2066fe3d1a9dae,123565.151619744,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974405
0xf9fa26f9b66fcb2b6751526620a68c4ff084de03,123565.151619744,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442
0xe4f42c23f05dc6accfeaf1f4b2c7ebd11e294def,123565.151619744,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818
0xc89405b3d3fd2285b08136f32845a77872bf4969,123565.151619744,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974405
0xb5e8deb74af4e1c22db74919cd301ea6282e9af8,123565.151619744,135395.07717779223,135395.07717779223,135395.07717779223,135395.07717779223,135395.07717779223,135395.07717779223,135395.07717779223,135395.07717779223,135395.07717779223,135395.07717779223,135395.07717779223,135395.07717779223,135395.07717779223
0x6883000bccb012725c5a25adcc68207f1947995b,123565.151619744,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818
0x7d55ebc8dd94d5fd27a70d73bb5954236fad3fb5,123565.151619744,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442
0xb9eeb8d8d088fb3fb4e6eefb3d8b98943ae038c8,123565.151619744,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818
0xabea1a9b8b4a4534ae6b71041aa48067d84a3df3,123565.151619744,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442
0x858825a78dcfe12f44c3bcc2bb325505c250508b,123565.151619744,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974405
0xb381529ad25bd04e3c12ab72c7b33d6f0579ac60,123565.151619744,165625.66716505706,165625.66716505706,165625.66716505706,165625.66716505706,165625.66716505706,165625.66716505706,165625.66716505706,165625.66716505706,165625.66716505706,165625.66716505706,165625.66716505706,177967.66266034887,670065.2409114506
0xa668aa17ff54fb5e3053efc5c23b42ba2d10f4d1,123565.151619744,161606.76311535426,161606.76311535426,161606.76311535426,161606.76311535426,161606.76311535426,161606.76311535426,161606.76311535426,161606.76311535426,161606.76311535426,161606.76311535426,161606.76311535426,161606.76311535426,514710.98607481644
0x8814b2dab62ec20991cff457a66667a24c04ba97,123565.151619744,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974405
0x25f253ac2797acd132900c95207c9105a081a0ea,123565.151619744,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442
0xc751162607f9038ee682fde5fc2ae6440db8c647,123565.151619744,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442
0xbbdaf8f42826a625ac53bd6bfb8b1df88932aac4,123565.151619744,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818,163575.7649725818
0x22803c31eab638a280e2b8bcb47b5e6b254afc4b,123565.151619744,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974405
0x521787762b1f49da588e5cd17bf1f0ebef0557a1,123565.151619744,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974405
0x5f968339773897cccc42e57ded2d387fecae65bb,123565.151619744,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974404,123565.15161974405
0xd91dc732f2870542e4df8fdad4288139f37e6d05,123565.151619744,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442,165159.3380725442
